id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
128,e,,x,s,w,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
129,e,,b,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
130,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
131,e,,b,y,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
132,e,,f,s,w,t,f,w,w,,,b,s,w,p,w,t,p,u,d,
133,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
134,e,,f,s,w,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
135,p,,x,y,w,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
136,e,,f,f,w,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
137,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
138,p,,x,s,n,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
139,e,,b,s,y,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
140,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,p,
141,e,,b,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
142,e,,s,f,n,f,f,c,k,,,e,s,w,p,w,t,p,n,u,
143,e,,f,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,p,
144,e,,x,y,y,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
145,e,,x,f,g,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
146,e,,f,f,w,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
147,e,,x,y,y,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
148,e,,b,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
149,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
150,e,,x,y,w,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
151,e,,x,s,n,f,f,w,p,,,e,f,w,p,w,t,e,n,g,
152,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
153,e,,s,f,n,f,f,c,k,,,e,s,w,p,w,t,p,k,u,
154,e,,x,s,w,t,f,w,w,,,b,s,w,p,w,t,p,u,d,
155,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
156,e,,b,y,y,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
157,e,,x,y,w,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
158,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
159,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
160,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
161,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
162,e,,x,f,n,f,f,c,k,,,e,s,w,p,w,t,p,n,u,
163,e,,f,y,n,t,f,c,n,,,r,s,w,p,w,t,p,n,g,
164,e,,x,y,w,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
165,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,n,p,
166,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
167,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,m,
168,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
169,e,,b,s,w,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
170,e,,x,f,g,f,f,c,g,,,e,s,w,p,w,t,p,n,u,
171,e,,b,s,y,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
172,e,,x,f,y,t,f,w,n,,,b,s,w,p,w,t,p,u,d,
173,e,,b,y,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
174,e,,f,y,y,t,f,c,p,,,r,s,w,p,w,t,p,n,g,
175,e,,b,y,w,t,f,c,w,,,c,s,w,p,w,t,p,k,m,
176,e,,b,y,w,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
177,e,,b,y,y,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
178,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
179,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
180,p,,x,y,w,t,f,c,p,,,e,s,w,p,w,t,p,n,u,
181,e,,s,f,n,f,f,c,g,,,e,s,w,p,w,t,p,n,u,
182,e,,f,f,n,f,f,c,g,,,e,s,w,p,w,t,p,k,u,
183,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
184,e,,f,y,n,t,f,c,p,,,r,s,w,p,w,t,p,k,p,
185,p,,x,y,w,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
186,e,,b,s,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
187,e,,f,f,g,f,f,c,p,,,e,s,w,p,w,t,p,k,u,
188,e,,b,y,y,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
189,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,n,p,
190,e,,x,f,w,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
191,e,,x,s,w,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
192,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
193,e,,f,s,y,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
194,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
195,e,,f,f,g,f,f,c,g,,,e,s,w,p,w,t,p,n,u,
196,e,,b,s,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
197,e,,x,s,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
198,e,,x,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
199,e,,f,s,w,t,f,w,n,,,b,s,w,p,w,t,p,n,d,
200,e,,x,y,y,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
201,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
202,e,,x,s,w,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
203,e,,x,f,w,f,f,w,h,,,e,f,w,p,w,t,e,k,g,
204,e,,f,y,n,t,f,c,n,,,r,s,w,p,w,t,p,k,p,
205,p,,x,s,w,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
206,e,,b,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
207,e,,b,s,w,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
208,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
209,e,,b,y,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
210,e,,x,s,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
211,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,m,
212,e,,x,f,y,t,f,w,n,,,b,s,w,p,w,t,p,n,d,
213,e,,x,f,g,f,f,c,n,,,e,s,w,p,w,t,p,n,u,
214,e,,f,y,y,t,f,c,n,,,r,s,w,p,w,t,p,n,g,
215,e,,b,s,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
216,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
217,e,,x,y,y,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
218,e,,x,y,w,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
219,e,,s,f,g,f,f,c,p,,,e,s,w,p,w,t,p,n,u,
220,e,,x,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
221,p,,x,s,w,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
222,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,n,g,
223,e,,f,f,w,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
224,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
225,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
226,e,,x,s,w,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
227,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
228,p,,x,y,n,t,f,c,p,,,e,s,w,p,w,t,p,k,u,
229,e,,b,s,y,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
230,e,,x,f,g,f,f,c,n,,,e,s,w,p,w,t,p,k,u,
231,p,,x,y,w,t,f,c,k,,,e,s,w,p,w,t,p,k,u,
232,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,n,p,
233,e,,f,f,n,f,f,c,k,,,e,s,w,p,w,t,p,k,u,
234,e,,b,s,w,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
235,e,,x,f,w,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
236,e,,x,y,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
237,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
238,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,k,g,
239,e,,f,y,y,t,f,c,p,,,r,s,w,p,w,t,p,k,p,
240,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,k,p,
241,e,,x,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
242,e,,x,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
243,p,,x,s,w,t,f,c,n,,,e,s,w,p,w,t,p,k,u,
244,e,,f,f,w,t,f,w,p,,,b,s,w,p,w,t,p,u,d,
245,e,,x,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
246,e,,x,s,w,t,f,w,p,,,b,s,w,p,w,t,p,u,d,
247,e,,x,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
248,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,k,p,
249,e,,x,s,n,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
250,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
251,p,,x,s,n,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
252,e,,s,f,n,f,f,c,g,,,e,s,w,p,w,t,p,n,u,
253,e,,b,y,y,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
254,e,,b,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
255,e,,b,y,w,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
256,e,,f,f,n,f,f,c,k,,,e,s,w,p,w,t,p,n,u,
257,e,,x,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,m,
258,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
259,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
260,e,,f,y,n,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
261,p,,x,y,w,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
262,e,,x,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
263,e,,x,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
264,e,,f,f,w,t,f,w,w,,,b,s,w,p,w,t,p,u,d,
265,e,,f,f,g,f,f,c,g,,,e,s,w,p,w,t,p,k,u,
266,e,,f,s,g,f,f,w,p,,,e,s,w,p,w,t,e,k,g,
267,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
268,e,,b,s,w,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
269,p,,f,y,n,t,f,c,w,,,e,s,w,p,w,t,p,k,u,
270,e,,x,s,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
271,p,,f,s,n,t,f,c,w,,,e,s,w,p,w,t,p,k,u,
272,e,,x,y,w,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
273,e,,x,y,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
274,e,,f,y,y,t,f,c,n,,,r,s,w,p,w,t,p,n,p,
275,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,n,p,
276,e,,f,y,n,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
277,e,,x,y,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
278,e,,f,f,n,f,f,w,h,,,e,s,w,p,w,t,e,k,g,
279,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
280,p,,x,y,w,t,f,c,w,,,e,s,w,p,w,t,p,n,g,
281,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
282,e,,s,f,n,f,f,c,p,,,e,s,w,p,w,t,p,n,u,
283,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
284,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
285,e,,f,y,n,t,f,c,n,,,r,s,w,p,w,t,p,k,g,
286,e,,b,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
287,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
288,e,,x,y,n,t,f,c,n,,,r,s,w,p,w,t,p,n,p,
289,e,,f,f,g,f,f,c,p,,,e,s,w,p,w,t,p,n,u,
290,e,,x,f,g,f,f,c,g,,,e,s,w,p,w,t,p,k,u,
291,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
292,e,,x,s,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
293,e,,b,y,w,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
294,e,,x,s,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
295,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
296,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
297,e,,x,f,g,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
298,e,,f,s,y,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
299,p,,x,y,w,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
300,e,,x,f,w,f,f,w,k,,,e,f,w,p,w,t,e,k,g,
301,e,,b,y,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
302,e,,x,s,y,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
303,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
304,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
305,e,,x,f,n,t,f,c,p,,,b,s,g,p,w,t,p,n,d,
306,e,,b,y,w,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
307,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
308,e,,f,y,n,t,f,c,p,,,r,s,w,p,w,t,p,k,g,
309,e,,x,f,w,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
310,e,,x,s,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
311,p,,x,y,w,t,f,c,n,,,e,s,w,p,w,t,p,n,g,
312,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
313,e,,x,f,w,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
314,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
315,p,,x,y,w,t,f,c,k,,,e,s,w,p,w,t,p,k,u,
316,e,,x,s,y,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
317,e,,x,y,w,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
318,e,,x,f,w,t,f,w,n,,,b,s,w,p,w,t,p,n,d,
319,e,,f,s,w,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
320,e,,x,y,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
321,e,,f,f,y,t,f,w,w,,,b,s,w,p,w,t,p,u,d,
322,e,,x,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
323,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
324,e,,x,y,n,t,f,c,p,,,r,s,w,p,w,t,p,n,p,
325,e,,b,y,w,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
326,e,,x,s,y,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
327,p,,x,y,n,t,f,c,n,,,e,s,w,p,w,t,p,n,u,
328,e,,b,s,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
329,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
330,p,,x,y,n,t,f,c,w,,,e,s,w,p,w,t,p,k,u,
331,e,,b,s,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
332,e,,b,y,y,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
333,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
334,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
335,e,,x,f,n,t,f,c,p,,,b,s,p,p,w,t,p,k,d,
336,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
337,e,,b,s,y,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
338,e,,x,f,g,f,f,c,g,,,e,s,w,p,w,t,p,n,u,
339,e,,x,y,n,t,f,c,n,,,r,s,w,p,w,t,p,k,g,
340,e,,x,s,w,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
341,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
342,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
343,e,,f,f,y,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
